10	9 October 2021	Leofwine_draca	A new TV classic	Just finished up SQUID GAME, the Korean TV show that's become a global smash hit on Netflix. It's truly brilliant and even better than the similar Japanese show ALICE IN BORDERLAND! The show is centred around contestants competing in children's games for a cash prize, but the twist is that they get killed if they lose. Shades of SAW and THE HUNGER GAMES here, but this is rivalled only by BATTLE ROYALE in terms of sheer quality. As usual for Korea, the writing, acting, and direction are all superb and the games themselves are hugely suspenseful, unlike anything I've seen before. Definitely horrifying enough both in premise and in terms of violent bloodshed to count as horror too.
9	10 October 2021	kosmasp	Just a game	Well multiple games actually, but even that you may find ... not accurate. Now you may not look the same way at some games that are being played here. But with all the buzz right now, you've probably heard quite a bit about that already.If like you got into this without any spoilers (congrats by the way), then the show will be able to surprise quite a few times. Be it by the players themselves but also and even more so by how the story evolves. It may not end exactly how I would imagine ... but that can also be seen as a good thing I reckon.As a fan of Korean cinema I was curious about this anyway. And it did not dissapoint - at all. The acting is amazing, the effects are great ... and the story is as mature as it can get. With enough social commentary and critique to make this a great watch!
10	11 October 2021	Tweekums	Games to die for	This runaway hit from South Korea is centred on Seong Gi-hun, a heavily indebted man who is invited to take part in a series of six games that if he wins will solve his problems. He accepts gets into a vehicle where a gas puts him to sleep. When he wakes he is in a large facility with over four hundred other people; they are watched over by masked armed guards. Here they are told the rules, one of which states that if a majority of players want to quit the game will end but they will not get any prize money. As they play the first game, the school yard game 'red light green light' they quickly learn that being eliminated is quite literal with losers being shot on the spot! Over the course of the series Gi-hun gets to know various other contestants; some he befriends and forms a team with for certain games; others are quickly identified as a danger. As the games continue more and more people are eliminated. While this is going on a policeman, looking for his missing brother, has found his way to the facility and, having taken the place of a guard, it trying to uncover what happened to his brother and who is behind the activities there.When I saw this recommended on Netflix I thought I'd watch it sometime but was in no great rush as I assumed to would be a Korean 'Alice in Borderland'. After hearing talk of its popularity I thought perhaps I should watch it sooner. I'm glad that I did. I really liked 'Alice in Borderland' but this is so much better, and while there are some similarities there are very important differences. There is a real sense of danger from the moment the first game begins; the fact that the contestants are playing playground games rather than deviously clever made up games make it feel strangely more real. The games are nicely varied; requiring skill, strength and sometimes just luck. The characters are the series real strength; they are varied and the way they are introduced means that the viewer grows to really care about them, especially as we learn certain players motivation for playing such a deadly game. The programme's design is impressive; I especially liked the masked look of those running the game facility. The cast does a really fine job bringing their characters to life and the sets and effects are impressive. Overall I'd definitely recommend this... watch it before you learn too much about what happens.These comments are based on watching the series in Korean with English subtitles.
5	9 October 2021	FeastMode	if you think this is good, PLEASE watch the korean movie Oldboy	I went into this show knowing absolutely nothing about it other than being a korean series. And yet i found it annoyingly predictable with almost nothing surprising me. Maybe i've just seen too many movies, but i've seen this all before. And i think what a lot of ppl like about this show is the norm in korean cinema. But most casuals have never watched a korean movie (if so, you're missing out, only thing that comes close to hollywood-level quality)i mentioned it in my title, but if you loved this series and are shocked by my low rating, please please please watch oldboy (not the american remake). It's superior in every way imaginable and an amazing movieoverall, this was an okay show. I was really into it at first, but it seemed to decline after the halfway point. By the end, i was feeling minimal impact from the big moments, and during the last episode i just wanted it to finish. There's a lot of good here, but many negatives as well. See below.Things that bothered me (without spoilers)-a scene that could have been really cool but they full-on strobe lighted it so you couldn't see anything-a ridiculously annoying female character (the older one), biggest offense is the eye-rolling bathroom scene-some really questionable decisions, some to the point of angering me-characters asking moronic questions or being outraged at things that they can't possibly still be outraged aboutthe games start out creative with skill, talent and strategy involved, but become random and filled with luck-the laughable acting and dialogue for all of the english scenes. This is the norm for asian cinema, but that doesn't mean it can always be forgiven. It was AWFUL. Can't they hire any experienced american actor? Or an english dialogue correspondent?-i like when a movie is the right kind of weird, the kind that makes it feel unique and adds character. But a lot of the weird in this show seemed to be there solely for the sake of being weird.-there were SO many times where i knew exactly what was going to happen next.
7	8 October 2021	Irishchatter	It started off strong but ended disoriented	I honestly don't know wtf the main character needed to go into the room where the old man was, dye his hair red and not attempting to board the plane. At the beginning I was having expectations that it would be thrillingly good which it was but the ending just didn't do it for me chief....
8	4 October 2021	Edvis-1997	8	I loved it but three last episodes killed the vibe.
1	16 October 2021	John6Daniels	Number 6	I don't know what the criteria is to write a review for this garbage show.Squid game is a garbage show.The movie is about killing and abusing people.Some people are entertained by this show . For me I only lasted 20mins. If people are going to hype a show then the bar will be set quite high.For squid game though the bar must have been set low.Last Words: Squid Game is overrated.
0	3 October 2021	Top_Dawg_Critic	🦑🎮 Not close to perfect, but still amazing.	Creator and director Dong-hyuk Hwang certainly had one crazy vision, and successfully made a series of it. Sure it has plot and technical issues, and I wasn't fond of the ending - I re-wrote it in my head much better, but for a somewhat newb Korean filmmaker, this was epic.The visuals, props and sets were outstanding. The cinematography and score amazing. The casting and performances by all, except the VIP's, was excellent. Props to Neflix once again, and thanks for dubbing this one right this time. Hoping for a S2 real soon. A well deserved 8/10 from me.
10	12 October 2021	RosanaBotafogo	Perfect, Beautiful and lovely...	Ep1 wonderful drama that we love, protagonist of dubious character, we didn't even root for him, but I loved his rambunctious behavior, Chips 1, 2, 3, bizarre in the way we love... T2 more drama than blood, we love it too... Ep4 Loving the jokes of macabre and bloodthirsty children, catching love for the characters, and hatred for the villains...Ep 6 the construction of the characters was perfect, the games give a sarcastic and sadistic tone, however the dialogues are the high point, with that black humor that the Koreans do so well, the conversations between the characters are intelligent, with a quick script, everything very captivating and mesmerizing, the players and the undercover cop, showing the other side of the game... Lovely..Ep 6 And the marbles game brought me a few tears, this was the game where the most innocent characters die, like the Pakistani who just wanted money to help his family who stayed there, his naivety and trust cost him his life , and the girl who killed the father who will kill her mother, and who has just got out of prison, and in the end gives up the game for her partner, perfect scenarios...I finished Round 6, completely in love, I already loved Korean movies, it just came to reaffirm their competence, perfect, everything perfect, I loved the dialogues, super mesmerizing script, the perfect effects, everything great in this production, I even cried... Beautiful, beautiful... But I saw many truths there, in real life it would be more or less like this...
8	14 October 2021	billcr12	Addicting	A great concept here as desperate people with financial problems compete for a huge sum of money(apparently $38 mil American). They must play games against one another with a severe penalty for losing. Like the Sopranos, with some of the episodes better than others. Number six was the best for me. The sets are Wes Anderson like, with bright colors filling the screen. The lead actors are excellent and the scripts very well written. The violence is over the top with no comic relief in sight. The final episode was a bit of a letdown but overall I was highly entertained.
